Index,Auto,Heating,Concentration,Batch,Sample,Heating Block Temperature,Mixed,Rest Time (days),Coupon-to-Bath Wait Time (min),Relative Humidity,Nitrogen (Side from drop),Nitrogen (After blade),Elastic Modulus_mean,Elastic Modulus_std
35,FALSE,FALSE,10,17,1,25,FALSE,0,0,84,FALSE,FALSE,81.74085575,1.742272965
36,FALSE,FALSE,10,17,2,25,FALSE,0,0,84,FALSE,FALSE,71.68894183,14.73889312
57,FALSE,FALSE,10,31,1,25,FALSE,0,0,48,FALSE,FALSE,66.30151481,15.9570977
73,FALSE,FALSE,10,35,1,25,FALSE,0,0,50,FALSE,FALSE,79.49162279,16.7441002
58,FALSE,FALSE,12,31,1,25,FALSE,0,0,48,FALSE,FALSE,109.6073303,18.69956352
74,FALSE,FALSE,12,35,1,25,FALSE,0,0,50,FALSE,FALSE,95.34662362,20.09313696
59,FALSE,FALSE,15,31,1,25,FALSE,0,0,48,FALSE,FALSE,204.1768029,9.182566794
75,FALSE,FALSE,15,35,1,25,FALSE,0,0,50,FALSE,FALSE,117.406316,32.21395567
33,FALSE,FALSE,17,16,1,25,FALSE,0,0,87,FALSE,FALSE,242.7128681,8.835838457
34,FALSE,FALSE,17,16,2,25,FALSE,0,0,87,FALSE,FALSE,233.7243724,30.14797131
1,TRUE,FALSE,10,3,1,25,TRUE,4,0,64,FALSE,FALSE,95.58773206,26.55215507
5,TRUE,FALSE,10,4,1,25,TRUE,1,0,61,FALSE,FALSE,24.71538797,16.84314491
9,TRUE,FALSE,10,5,1,25,TRUE,0,0,61,FALSE,FALSE,51.16844399,25.54090804
11,TRUE,FALSE,10,6,1,25,TRUE,1,0,77,FALSE,FALSE,35.10226132,20.82396571
12,TRUE,FALSE,10,6,2,25,TRUE,2,0,56,FALSE,FALSE,39.58562154,39.76399074
13,TRUE,FALSE,10,6,3,25,TRUE,3,0,55,FALSE,FALSE,48.22854697,29.08085981
20,TRUE,FALSE,10,11,1,25,TRUE,1,0,58,FALSE,FALSE,28.0858832,4.173773558
24,TRUE,FALSE,10,13,1,25,TRUE,1,0,80,TRUE,FALSE,106.8193434,
27,TRUE,FALSE,10,14,1,25,TRUE,1,0,54,TRUE,FALSE,74.82276309,43.45300919
43,TRUE,FALSE,10,21,1,25,FALSE,0,0,76,FALSE,FALSE,56.88500845,18.46788502
44,TRUE,FALSE,10,21,2,25,FALSE,0,0,76,FALSE,FALSE,45.87195384,12.39441783
61,TRUE,FALSE,10,32,1,25,FALSE,0,0,46,FALSE,FALSE,50.1043136,
65,TRUE,FALSE,10,33,1,25,FALSE,0,0,50,FALSE,FALSE,73.67122148,15.5125327
69,TRUE,FALSE,10,34,1,25,TRUE,1,0,50,FALSE,FALSE,53.46447392,6.942689884
2,TRUE,FALSE,11.63,3,1,25,TRUE,4,0,64,FALSE,FALSE,98.05789123,6.692939933
6,TRUE,FALSE,11.63,4,1,25,TRUE,1,0,61,FALSE,FALSE,39.13465427,6.452669333
21,TRUE,FALSE,12,11,1,25,TRUE,1,0,49,FALSE,FALSE,42.73624037,1.258304479
25,TRUE,FALSE,12,13,1,25,TRUE,1,0,80,TRUE,FALSE,141.4537991,10.77089158
